leiden	OPC	astro	doublet	endo	mg	neuron	oligo	unID	dominant_cellType	n_AD	n_ct
0	0	0	0	1	0	0	589	3	oligo	578	15
1	0	0	91	0	0	159	26	94	neuron	332	38
2	0	1	4	0	0	346	5	0	neuron	104	252
3	0	0	0	0	0	54	1	0	neuron	11	44
4	0	0	3	0	0	0	2039	13	oligo	2041	14
5	0	647	6	0	0	0	5	23	astro	384	297
6	0	1415	9	0	0	0	8	3	astro	8	1427
7	1047	1	36	0	0	0	14	47	OPC	180	965
8	0	0	0	0	0	0	2718	5	oligo	66	2657
9	1	1	19	97	0	0	8	10	endo	51	85
10	0	8	21	0	449	0	21	51	mg	236	314
11	0	0	3	0	0	0	1876	101	oligo	1975	5
12	30	0	90	0	0	0	32	74	doublet	226	0
13	0	2	43	0	0	5	30	259	unID	2	337
14	0	0	28	0	0	92	9	76	neuron	114	91
15	0	96	52	0	0	0	8	166	unID	322	0
16	0	0	0	0	0	0	43	0	oligo	43	0
