"symbol","full_name","hazard_ratio","direction"
"SRGN","serglycin",1.765,"Risk"
"IGKC","immunoglobulin kappa constant",1.561,"Risk"
"TTLL3","tubulin tyrosine ligase like 3",0.673,"Protective"
"IGHV3-74","immunoglobulin heavy variable 3-74",0.689,"Protective"
"NEAT1","nuclear paraspeckle assembly transcript 1",0.69,"Protective"
"IGHA2","immunoglobulin heavy constant alpha 2 (A2m marker)",1.431,"Risk"
"HSF4","heat shock transcription factor 4",1.427,"Risk"
"ZMAT1","zinc finger matrin-type 1",1.383,"Risk"
"IGKV4-1","immunoglobulin kappa variable 4-1",0.74,"Protective"
"S100A8","S100 calcium binding protein A8",1.341,"Risk"
"B3GNT6","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",0.748,"Protective"
"GABBR1","gamma-aminobutyric acid type B receptor subunit 1",1.316,"Risk"
"IGHA1","immunoglobulin heavy constant alpha 1",0.784,"Protective"
"FCGR3B","Fc gamma receptor IIIb",0.785,"Protective"
"MMP10","matrix metallopeptidase 10",0.789,"Protective"
