GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
148398	1	925741	944581	52	14	459856	-0.12942	0.55149	SAMD11
26155	1	944203	959299	46	8	462824	-0.018338	0.50732	NOC2L
339451	1	959952	965720	17	4	464613	0.21695	0.41412	KLHL17
84069	1	966497	975108	26	12	463203	2.1125	0.017322	PLEKHN1
84808	1	975199	982117	19	5	465422	2.3613	0.0091066	PERM1
57801	1	998962	1001285	10	3	470147	1.536	0.062265	HES4
9636	1	1013467	1014540	4	2	465526	2.3683	0.008936	ISG15
375790	1	1020101	1056119	93	12	471350	3.6608	0.00012573	AGRN
105369174	1	1061207	1066390	5	3	473390	1.5442	0.061273	LOC105369174
105378948	1	1065635	1069326	7	3	478150	1.9459	0.025835	LOC105378948
401934	1	1071746	1074307	5	2	482494	2.9962	0.001367	RNF223
54991	1	1081818	1116356	99	13	482775	1.7158	0.043103	C1orf159
254173	1	1173898	1197935	130	18	484050	0.78818	0.2153	TTLL10
8784	1	1203508	1206709	9	2	482730	-0.19895	0.57885	TNFRSF18
7293	1	1211326	1214638	7	3	481395	-1.7724	0.96183	TNFRSF4
51150	1	1216908	1232067	85	5	484863	-0.57563	0.71757	SDF4
126792	1	1232249	1235041	6	2	484665	-0.5595	0.71209	B3GALT6
388581	1	1242446	1247218	13	3	479867	0.87091	0.1919	FAM132A
118424	1	1253912	1273854	44	8	482638	0.063574	0.47465	UBE2J2
6339	1	1280415	1292029	36	14	481891	0.15458	0.43858	SCNN1D
116983	1	1292384	1307925	43	11	479463	0.65927	0.25486	ACAP3
126789	1	1308571	1311677	5	3	474842	-1.6087	0.94615	PUSL1
54973	1	1311585	1324687	16	6	477976	-0.63623	0.73769	CPSF3L
80772	1	1324756	1328896	9	3	480253	-0.53019	0.70201	CPTP
83756	1	1328999	1335320	22	6	479859	0.034415	0.48627	TAS1R3
1855	1	1335278	1349158	41	10	477605	-0.62189	0.73299	DVL1
54587	1	1352689	1363541	32	6	477467	-0.87351	0.80881	MXRA8
54998	1	1373730	1375438	6	3	481701	0.52035	0.30141	AURKAIP1
81669	1	1385711	1399338	19	7	480856	0.12476	0.45036	CCNL2
55052	1	1401896	1407834	12	4	483868	0.31783	0.37531	MRPL20
441869	1	1418420	1421820	10	4	478201	-0.37532	0.64629	ANKRD65
643965	1	1426128	1427787	6	3	481296	-0.10374	0.54131	TMEM88B
64856	1	1435523	1442882	13	4	484501	-0.37843	0.64744	VWA1
219293	1	1441301	1470158	91	15	474542	-1.1681	0.87861	ATAD3C
83858	1	1471732	1509479	90	17	478826	0.68384	0.24704	ATAD3B
55210	1	1512143	1534687	78	13	480199	1.0446	0.14809	ATAD3A
339453	1	1534778	1540360	10	6	480331	-0.50376	0.69279	TMEM240
29101	1	1541673	1574882	82	10	483303	-0.66213	0.74606	SSU72
643988	1	1598008	1600096	1	1	469823	-1.5125	0.9348	C1orf233
142678	1	1614975	1630610	34	7	463778	-1.4959	0.93266	MIB2
984	1	1635226	1659839	26	4	313097	-1.074	0.8586	CDK11B
728661	1	1660025	1692804	60	13	468438	-1.212	0.88724	SLC35E2B
728642	1	1702730	1724352	45	3	470654	1.1882	0.11737	CDK11A
9906	1	1724838	1745999	26	5	481493	1.5827	0.056747	SLC35E2
65220	1	1751232	1780514	64	9	485062	-0.051299	0.52046	NADK
2782	1	1785285	1891117	144	20	484403	-0.15676	0.56228	GNB1
105378949	1	1885960	1893010	12	6	484230	-0.97241	0.83458	LOC105378949
163688	1	1913752	1917294	12	3	486403	-0.56996	0.71565	CALML6
339456	1	1917589	1919301	6	2	487039	-0.35786	0.63978	TMEM52
85452	1	1921951	2003837	291	23	484777	-0.34715	0.63576	CFAP74
2563	1	2019329	2030753	28	6	483175	-0.31075	0.622	GABRD
5590	1	2050470	2185395	381	30	486068	-1.1937	0.88369	PRKCZ
100506504	1	2181811	2184360	4	2	486897	0.10178	0.45947	LOC100506504
199990	1	2184460	2212720	48	11	485853	-0.02326	0.50928	C1orf86
105378592	1	2208942	2215211	19	9	484088	0.095698	0.46188	LOC105378592
6497	1	2228695	2310213	204	38	486168	-0.62863	0.73521	SKI
105378594	1	2280383	2284676	12	4	485933	1.0203	0.15379	LOC105378594
79906	1	2321253	2391751	269	34	486243	-0.80613	0.78992	MORN1
11079	1	2391314	2405444	34	10	485352	-1.8081	0.96471	RER1
5192	1	2404802	2413780	24	8	485457	-1.108	0.86607	PEX10
9651	1	2415782	2505530	276	39	486134	-0.2305	0.59115	PLCH2
55229	1	2508531	2526628	35	5	486458	-2.0592	0.98026	PANK4
388585	1	2528745	2530245	3	2	486378	-1.1652	0.87803	HES5
8764	1	2556365	2565622	21	5	485942	0.95111	0.17077	TNFRSF14
127281	1	2586460	2591469	10	4	485539	0.29586	0.38367	FAM213B
79258	1	2590639	2633042	143	9	485702	0.58549	0.27911	MMEL1
100287898	1	2636988	2789665	58	8	484966	1.3229	0.092927	TTC34
140625	1	3021482	3022903	4	2	486519	-1.9317	0.9733	ACTRT2
63976	1	3068227	3438621	1254	159	485501	-1.2824	0.90014	PRDM16
27237	1	3454583	3481115	84	11	485331	-0.33466	0.63106	ARHGEF16
1953	1	3487942	3624757	507	79	483297	0.52498	0.2998	MEGF6
127262	1	3624992	3630131	12	4	483091	0.48951	0.31224	TPRG1L
49856	1	3630767	3650107	27	8	480784	0.50588	0.30647	WRAP73
7161	1	3652565	3736201	267	45	482232	0.29338	0.38461	TP73
148870	1	3752398	3771645	63	16	485711	-0.72438	0.76559	CCDC27
388588	1	3772761	3775982	10	4	486654	0.11537	0.45407	SMIM1
57470	1	3780220	3796504	67	15	486171	0.92871	0.17652	LRRC47
9731	1	3812081	3857387	250	21	486312	-0.11272	0.54488	CEP104
1677	1	3857143	3885429	150	21	485962	0.4891	0.31239	DFFB
339448	1	3889133	3900293	37	8	483892	-1.1598	0.87694	C1orf174
55966	1	4655045	4792534	598	74	486803	-1.1191	0.86845	AJAP1
261734	1	5862808	5992505	360	22	486663	1.581	0.056941	NPHP4
8514	1	5992298	6101193	282	43	484797	0.90463	0.18283	KCNAB2
26038	1	6101787	6180134	240	34	486613	2.3773	0.0087193	CHD5
6146	1	6185020	6199619	28	5	486614	0.94524	0.17227	RPL22
388591	1	6205775	6221299	29	5	486489	1.9105	0.028037	RNF207
23463	1	6221193	6235984	25	6	485940	2.0702	0.019215	ICMT
